carat,cut,color,clarity,depth,table,price
1.15,5,3,2,62.0,57.0,4830
0.32,5,4,5,61.9,55.0,773
1.07,1,4,1,64.8,56.0,2375
0.9,4,3,4,61.2,61.0,4355
2.0,4,2,4,59.5,62.0,15651
0.37,5,6,6,61.8,54.0,1082
1.11,3,3,2,59.8,60.0,4456
0.6,5,4,5,62.5,56.0,2147
1.04,5,6,6,62.0,58.0,9552
0.3,5,4,4,62.0,56.0,503
1.02,3,6,4,59.1,60.0,6762
0.9,3,5,4,63.4,58.0,4400
0.52,5,3,5,61.1,57.0,1648
0.43,3,4,6,62.3,60.0,1056
0.23,3,7,6,63.5,58.0,485
0.43,4,7,3,61.2,60.0,774
0.46,5,3,7,62.3,54.0,1227
0.7,4,3,3,62.0,61.0,2176
1.01,2,4,5,63.8,56.0,6283
1.5,2,2,1,63.7,61.0,3696
0.34,3,4,5,60.4,61.0,686
0.44,4,4,3,60.1,60.0,772
1.01,5,2,7,61.7,56.0,5478
1.51,4,5,4,61.8,56.0,13221
1.06,4,3,3,61.0,60.0,5461
1.1,5,4,4,60.9,56.0,6939
0.94,2,7,2,57.9,61.0,3125
0.32,5,5,4,60.3,55.0,828
0.56,5,7,3,61.2,56.0,1814
0.79,5,3,4,62.5,57.0,2844
0.55,5,4,6,60.5,58.0,2016
0.32,5,7,4,61.9,57.0,758
0.4,4,7,3,61.3,60.0,772
2.01,4,2,3,60.1,59.0,14558
0.31,5,6,3,61.9,53.0,516
0.5,2,7,2,63.7,60.0,979
0.7,5,6,7,61.9,56.0,5338
1.51,3,7,2,63.2,59.0,7915
0.26,5,4,8,62.5,57.0,605
0.71,5,5,3,63.0,54.0,2235
0.4,2,7,4,63.5,55.0,891
0.6,2,4,3,61.3,61.2,1565
1.0,4,6,4,61.8,62.0,6860
1.11,5,6,4,62.2,56.0,7459
0.32,3,4,2,62.3,58.0,421
0.43,5,6,2,61.9,57.0,716
0.38,3,2,2,62.7,58.0,500
1.7,3,7,2,60.8,59.0,11431
2.0,2,7,2,63.8,57.0,10528
1.5,4,6,5,60.3,60.0,16409
1.0,5,4,3,62.4,56.0,4867
0.92,3,1,2,58.7,61.0,2880
0.31,5,6,7,61.3,56.0,1105
0.41,5,2,6,61.6,55.0,788
1.51,2,7,2,61.7,65.0,7519
1.0,5,5,3,63.0,56.0,5656
1.01,3,2,4,61.3,56.0,4438
1.01,5,6,3,62.1,54.0,5599
0.26,5,4,8,61.7,54.0,648
1.0,1,6,3,66.5,55.0,3696
0.68,3,5,6,57.3,60.0,3112
1.13,1,1,3,64.9,55.0,4123
1.22,5,4,2,62.3,57.0,5296
0.7,5,6,3,62.7,55.0,2774
0.7,5,5,5,62.0,55.0,2726
0.57,5,6,6,60.6,56.2,2719
2.5,5,1,2,63.8,53.0,15246
0.4,5,6,5,62.4,58.0,1250
1.36,4,2,4,59.3,58.0,6017
0.55,5,5,4,61.7,56.0,1709
1.06,3,3,2,62.4,54.0,4516
0.3,2,6,3,63.1,53.0,526
0.92,4,7,2,62.4,58.0,4168
0.25,2,6,6,63.1,56.0,576
0.42,3,5,3,62.7,55.0,773
1.04,2,5,5,63.2,57.0,7399
0.73,3,6,3,61.3,58.0,2871
0.38,5,7,5,61.9,53.5,983
0.9,2,4,5,63.9,60.0,4401
0.46,3,6,4,59.8,59.6,1267
0.3,3,3,7,62.8,56.0,655
0.39,5,2,7,62.5,53.1,820
0.79,4,1,3,58.8,62.0,1924
1.56,1,2,3,64.6,62.0,7950
0.55,5,2,3,61.3,55.0,1134
0.35,5,6,4,61.6,56.0,767
0.3,5,5,8,61.8,54.0,886
0.41,3,3,3,63.3,56.0,876
1.0,4,4,4,61.6,58.0,6272
1.01,3,3,2,63.4,57.0,3592
1.01,5,2,1,61.5,57.0,2844
0.31,2,4,5,63.8,57.0,625
0.91,2,2,2,57.9,60.0,3061
1.2,4,2,5,62.8,56.0,6021
0.5,2,4,6,61.2,63.3,1690
1.13,5,4,2,61.1,54.0,5062
1.21,5,5,4,62.6,55.0,7826
0.31,4,3,7,63.0,58.0,907
0.54,3,7,4,60.6,58.0,1892
1.09,5,2,5,61.4,56.0,6225
1.55,5,3,2,62.0,58.0,9044
0.51,3,6,6,61.3,55.0,2320
1.46,4,3,2,61.4,59.0,7604
1.32,4,3,2,59.4,54.0,4879
0.85,1,3,1,71.2,54.0,1274
1.52,4,3,6,61.2,58.0,11979
1.87,5,3,5,59.7,60.0,17761
2.07,3,2,3,62.3,60.0,15847
0.5,3,6,2,61.3,56.0,1154
0.53,4,6,4,58.5,61.0,1908
2.03,3,1,2,61.7,61.0,11968
0.9,3,7,3,62.8,59.0,4068
1.07,3,7,8,59.0,59.0,17909
0.61,2,7,2,59.8,62.0,1423
1.7,4,4,3,62.5,61.0,13737
0.34,5,2,7,61.8,56.0,803
1.53,4,6,4,61.6,58.0,16049
1.54,4,5,2,61.1,58.0,9055
2.14,5,3,2,63.0,55.0,12720
0.5,4,4,6,59.6,60.0,1838
1.26,4,1,2,62.7,58.0,5038
0.33,4,3,5,59.0,62.0,693
0.53,5,7,4,61.4,55.0,1956
2.16,5,5,1,61.0,57.0,9036
0.63,4,6,3,58.8,59.0,1846
1.05,5,3,4,61.4,55.0,5993
0.4,3,6,5,60.1,58.0,1053
1.35,4,1,3,61.1,61.0,5715
1.52,4,3,5,60.6,58.0,12047
0.81,4,7,5,62.3,58.0,4209
0.5,4,7,4,61.9,58.0,1845
2.06,4,4,2,62.7,58.0,17650
1.01,3,3,3,62.6,58.0,4369
1.2,2,6,4,63.6,57.0,8380
1.56,2,3,2,59.2,59.0,7554
0.33,4,3,3,63.0,58.0,610
1.51,4,3,2,60.4,59.0,7864
0.54,4,3,2,61.8,60.0,972
1.13,5,6,6,60.1,59.0,11387
1.64,3,4,2,60.9,57.0,8794
0.76,5,3,4,62.7,57.0,2668
0.51,5,6,5,61.4,56.0,2233
1.01,4,4,2,63.0,59.0,3923
1.06,5,5,6,61.1,57.0,8776
0.3,4,7,3,61.7,59.0,709
0.55,5,5,5,61.2,56.0,2079
0.5,4,7,2,58.5,60.0,1178
1.28,5,3,2,61.8,57.0,5676
0.51,5,6,7,62.3,53.7,2524
1.03,5,1,2,60.6,56.0,4347
0.92,5,3,2,60.5,57.0,3854
0.32,5,7,4,62.5,56.0,758
1.01,4,5,4,60.8,57.0,6702
0.41,4,7,3,62.1,59.0,1015
0.58,3,1,4,59.5,62.0,1147
0.51,4,6,3,61.0,58.0,1443
1.14,5,4,6,62.3,55.0,8743
0.94,3,6,3,61.8,56.0,4661
1.27,5,1,3,61.4,57.0,5455
1.36,3,5,3,62.8,53.0,6597
1.32,1,5,7,58.0,66.0,12648
1.01,4,4,2,61.8,58.0,4038
2.01,5,2,2,61.5,56.0,14103
0.28,5,4,6,61.5,56.0,586
1.2,5,5,4,62.7,57.0,9176
1.06,5,4,6,60.3,57.0,8726
1.23,2,2,5,63.6,59.0,5834
0.41,5,7,4,62.4,54.0,1076
2.15,5,1,5,60.9,55.0,15613
1.0,3,6,3,63.5,61.0,5174
0.3,5,6,4,62.5,56.0,844
0.35,5,5,6,61.6,58.0,795
0.99,3,6,2,61.8,59.0,4780
0.37,3,5,4,61.2,60.0,746
1.01,5,4,4,60.6,58.0,6295
1.14,3,1,3,63.3,55.0,4173
0.4,3,5,5,61.5,59.0,982
0.32,3,4,5,62.8,54.0,645
0.74,5,6,4,62.7,54.0,2984
0.88,5,5,3,62.3,53.0,4054
0.56,5,7,3,61.8,55.0,2061
0.37,3,4,5,58.3,62.0,696
1.51,4,1,3,60.6,57.0,7255
1.04,4,3,3,60.0,58.0,3902
2.02,4,2,4,59.0,59.0,17893
0.24,3,6,5,61.5,57.0,357
0.71,5,1,3,61.4,56.0,1940
0.92,2,6,3,63.2,58.0,4258
0.35,5,3,6,62.5,57.0,706
0.33,5,5,4,62.1,55.0,854
0.94,4,6,3,62.0,58.0,4661
0.32,5,2,7,62.4,55.0,756
0.3,4,3,3,62.2,60.0,540
1.26,3,6,4,59.5,57.0,9802
1.11,5,4,3,62.0,57.0,5127
0.75,5,6,5,61.8,55.0,3086
0.34,5,6,4,62.4,56.0,745
0.51,4,6,5,61.3,58.0,1928
0.38,4,6,4,59.2,60.0,1112
1.53,4,5,2,60.9,60.0,7685
0.32,3,4,2,63.4,55.0,540
1.1,4,6,2,60.0,60.0,4201
1.07,3,4,4,60.0,56.0,7611
1.1,4,2,2,59.3,62.0,3271
1.2,3,7,2,63.5,59.0,4758
1.13,2,7,2,60.7,64.0,4406
0.5,2,7,3,60.5,57.0,1447
1.22,4,3,3,61.0,59.0,4829
1.51,4,4,2,62.7,57.0,7145
0.41,5,6,5,62.0,54.0,1153
1.5,2,4,4,63.7,57.0,10669
0.6,3,5,4,59.5,57.8,1940
1.2,3,1,4,59.9,60.0,5140
1.0,3,1,2,63.2,62.0,3293
0.31,5,6,4,61.6,56.0,872
0.9,3,2,5,63.5,57.0,3484
0.24,3,6,4,62.1,58.0,419
1.51,5,6,4,62.8,56.0,14844
1.0,3,6,2,63.3,55.0,4390
1.73,4,5,2,63.0,60.0,8816
1.1,2,5,2,63.8,56.0,4244
0.74,2,6,3,62.1,64.0,2366
1.07,5,2,5,62.0,57.0,5207
1.15,3,3,4,63.1,56.0,5750
0.53,5,7,2,61.9,55.0,1314
1.51,2,5,2,62.9,55.0,7875
1.16,5,2,3,61.5,60.0,4742
0.39,5,5,3,60.1,58.0,697
0.9,3,7,3,63.0,58.0,4523
0.3,3,3,3,61.6,62.0,421
0.6,5,6,4,62.0,57.0,2061
0.71,5,4,2,62.8,57.0,1840
0.4,4,5,4,62.1,58.0,1080
1.21,2,2,3,62.7,59.0,5252
0.24,3,6,7,60.7,60.0,485
2.04,3,3,2,60.8,58.0,14810
1.61,5,2,4,62.5,57.0,10098
0.58,1,6,5,57.9,56.0,2192
0.71,5,3,5,61.7,55.0,3229
1.03,2,1,5,60.1,62.4,4582
0.5,5,5,5,61.0,56.0,1731
0.62,5,4,3,61.6,56.0,1563
0.73,5,3,8,61.4,59.0,3429
1.5,3,1,6,62.9,58.0,8622
2.01,4,3,3,61.5,53.0,16733
1.63,3,4,2,62.5,57.0,9556
0.32,5,5,3,60.9,55.0,586
0.5,3,6,4,63.5,54.0,1629
0.7,5,5,3,62.6,55.0,2410
0.61,5,4,8,61.7,55.0,2575
1.51,5,1,4,61.1,57.0,8033
0.32,4,2,5,61.9,58.0,505
2.02,3,2,2,63.3,59.0,11390
1.23,5,3,3,63.0,56.0,5889
0.32,5,4,8,61.6,55.0,918
0.33,4,3,5,61.5,58.0,743
1.08,5,6,7,61.7,55.0,14032
0.23,3,6,6,61.8,58.0,530
1.01,3,2,3,62.7,56.0,4212
1.04,5,4,5,62.3,56.0,7457
0.83,2,3,2,63.9,56.0,2316
0.42,5,4,8,62.1,56.0,1400
0.57,5,3,4,61.7,55.0,1725
1.06,5,2,3,61.8,55.0,5697
0.5,3,3,4,61.8,63.0,1074
0.44,5,4,3,61.5,57.0,990
1.14,2,4,2,63.7,58.0,4501
1.15,5,2,5,61.3,56.0,5930
0.3,5,3,6,61.5,57.0,776
0.33,5,4,7,62.4,56.0,820
1.5,3,3,3,58.8,63.0,9573
1.01,2,4,3,63.6,57.0,4672
0.29,3,6,6,58.5,58.0,664
0.71,2,5,3,64.3,57.0,2125
2.07,5,1,6,62.7,54.0,16617
0.61,5,4,8,62.3,56.0,2800
0.24,4,3,7,61.2,58.0,554
0.31,4,3,5,59.9,60.0,698
0.4,5,3,8,62.7,57.0,1238
0.4,3,6,2,62.9,59.0,666
1.12,3,4,2,63.3,58.0,4478
0.54,2,7,2,63.2,57.0,1249
0.5,5,6,3,60.1,57.0,1410
1.15,4,4,5,61.7,58.0,7535
0.7,2,7,3,62.6,60.0,2681
1.01,4,7,3,61.2,60.0,5780
1.56,4,6,4,61.5,58.0,12156
0.33,5,7,4,61.7,55.0,724
1.01,2,6,3,64.5,56.0,4563
1.0,4,6,3,60.5,59.0,5396
0.9,5,5,2,62.3,57.0,3679
0.39,3,4,4,63.3,57.0,1009
0.4,2,7,3,63.6,57.0,720
0.9,2,2,6,64.8,55.0,3718
0.58,4,3,3,58.4,59.0,1332
0.32,5,4,4,62.0,57.0,720
0.33,5,5,5,62.8,55.0,765
0.31,5,7,3,61.8,56.0,571
1.33,5,3,3,62.7,56.0,7217
0.52,5,2,8,60.2,56.0,1988
0.51,4,7,4,62.7,59.0,1716
0.31,5,4,6,61.7,54.0,707
1.31,5,2,5,62.2,57.0,7751
1.18,5,5,6,60.6,55.0,11415
0.73,5,7,5,61.9,55.0,4258
0.33,4,6,4,62.0,60.0,829
1.21,5,3,3,61.2,57.0,5973
0.71,2,2,3,63.6,63.0,1774
1.23,5,2,6,62.0,55.0,7299
0.31,2,3,5,64.1,55.0,476
1.1,5,4,5,61.5,57.0,7111
1.5,4,5,4,61.3,61.0,14372
1.02,5,3,2,59.8,58.0,4742
0.32,3,4,6,61.5,54.0,672
0.43,5,6,4,62.0,57.0,1048
0.3,5,4,8,60.7,57.0,863
0.51,2,4,7,63.9,57.0,1925
0.59,5,7,2,62.3,55.0,1572
0.32,5,6,5,61.9,56.0,972
1.52,2,2,4,63.3,61.0,8778
0.34,5,6,7,61.8,57.0,1001
1.24,3,3,6,61.3,55.0,8438
0.9,2,6,2,61.9,62.0,3422
1.01,2,2,4,62.8,59.0,4121
0.4,5,2,7,61.0,56.0,849
0.4,5,4,7,62.4,54.0,1043
0.54,5,3,5,61.6,59.0,1630
0.71,5,6,4,62.0,55.0,3421
0.34,5,7,1,61.4,55.0,530
1.53,3,3,3,61.1,57.0,10468
0.41,3,4,4,62.9,59.0,827
1.22,4,4,5,61.6,60.0,7850
1.03,5,1,3,61.9,56.0,3921
0.3,3,3,4,63.5,59.0,608
0.71,3,3,2,63.3,58.0,2055
0.72,3,3,2,63.3,57.0,1698
0.36,5,5,3,62.0,56.0,770
0.42,5,4,4,61.6,56.0,847
0.3,5,6,4,61.5,55.0,844
0.35,5,7,3,61.6,57.0,644
0.5,1,4,6,66.1,62.0,1659
0.52,3,5,4,60.0,61.5,1680
1.51,5,4,4,62.2,59.0,13163
0.5,1,3,5,67.1,58.0,1134
1.2,1,3,2,64.8,58.0,4368
0.54,5,6,4,61.7,55.0,1609
1.11,3,4,4,63.4,56.0,4834
0.38,5,2,5,61.6,55.0,700
1.5,5,5,3,62.0,60.0,12466
0.33,5,7,4,60.9,55.0,781
0.55,3,4,4,62.3,56.0,1551
0.46,3,5,2,61.5,56.0,809
1.51,5,3,4,60.6,57.0,11540
0.7,4,2,2,62.3,59.0,1415
1.03,5,7,3,61.3,56.0,6610
0.53,5,7,4,61.4,56.0,1956
0.44,4,4,4,60.6,58.0,1063
0.5,4,6,4,60.7,59.0,1581
0.31,5,3,5,62.2,57.0,698
0.59,5,6,4,62.2,58.0,1838
1.5,3,7,3,62.0,63.0,11933
1.01,5,6,4,61.5,57.0,7288
0.6,3,4,3,61.1,57.0,1554
1.02,3,4,3,62.9,56.0,4704
0.41,5,4,7,62.1,55.0,1230
1.61,4,7,3,59.0,60.0,12231
0.47,3,3,4,57.2,60.0,1178
0.33,3,2,8,62.0,58.0,694
1.2,5,2,3,60.3,56.0,5763
0.9,5,6,3,60.1,56.0,4034
1.5,5,4,4,60.7,54.0,13135
1.01,3,6,3,63.4,55.0,6501
0.5,2,4,6,64.4,57.0,1991
0.91,4,4,6,61.8,58.0,5259
0.91,2,7,2,64.1,62.0,3349
1.18,3,4,3,60.8,58.0,6286
0.33,5,6,3,62.4,56.0,579
0.5,1,6,3,66.4,58.0,1196
0.39,3,4,7,63.2,57.0,943
1.2,5,4,6,62.2,55.0,9407
0.4,2,6,3,63.5,57.0,687
0.7,1,3,5,62.0,73.0,2100
0.24,3,5,5,59.3,57.0,393
0.23,3,6,6,61.2,60.0,505
1.07,4,7,3,61.8,61.0,5872
0.42,5,6,4,62.4,55.0,958
0.4,3,7,4,63.6,55.0,850
0.32,5,4,4,61.5,57.0,561
0.51,3,7,4,60.1,59.0,1877
0.32,5,5,7,61.1,56.0,827
0.36,4,5,3,61.5,58.0,770
1.05,3,1,3,62.5,58.0,4199
0.7,4,6,4,62.0,60.0,2657
0.46,1,2,4,66.8,55.0,855
0.26,3,5,4,62.4,58.0,453
0.31,3,6,3,63.4,55.0,698
0.9,2,4,2,63.7,62.0,3014
1.0,2,6,4,60.6,65.0,6445
0.52,2,7,4,63.5,57.0,1701
0.4,5,6,5,62.2,55.0,1125
0.25,5,5,5,61.8,57.0,436
1.0,2,3,2,63.9,55.0,3584
1.7,5,3,1,62.6,54.1,7068
1.54,3,2,2,63.3,60.0,7437
1.1,3,7,2,58.6,63.0,4361
1.14,4,3,4,61.3,59.0,5700
1.7,3,2,5,60.6,59.0,11514
0.75,5,6,3,61.7,56.0,2964
1.21,4,2,4,62.6,59.0,4884
0.31,5,5,4,62.3,55.0,625
0.41,5,6,6,62.0,56.0,1187
1.02,3,5,2,63.3,56.0,3018
0.32,3,2,4,63.0,56.0,449
1.14,3,4,5,63.4,58.0,7171
0.31,5,4,7,61.9,54.0,789
0.51,4,7,4,62.0,59.0,1807
1.04,2,5,2,63.1,60.0,4427
0.38,4,5,3,62.0,58.0,838
0.41,5,6,3,61.2,55.0,824
1.01,4,4,4,61.6,58.0,6027
0.36,5,6,3,61.9,56.0,631
0.4,5,3,7,62.1,57.0,913
0.31,5,6,4,61.7,55.0,642
0.79,2,4,3,63.6,57.0,2726
0.31,2,3,7,63.3,58.0,707
0.52,3,4,5,62.4,60.0,1689
0.91,4,6,4,62.3,58.0,5055
0.27,5,3,3,61.3,55.0,383
0.72,5,4,2,61.3,56.0,2451
1.64,4,4,4,62.4,58.0,14201
0.51,5,5,6,62.6,57.0,2093
0.35,5,6,5,61.5,57.0,718
0.31,3,7,2,61.5,60.0,462
0.4,4,7,4,62.5,59.0,982
1.22,4,4,2,61.6,62.0,5226
0.66,4,6,5,60.8,59.0,2433
0.51,3,4,8,62.6,56.0,2102
0.55,4,6,4,60.5,58.0,1881
0.91,2,5,5,63.5,56.0,4823
0.71,5,4,6,62.5,57.0,3042
0.37,5,5,5,61.7,56.0,1041
0.32,5,6,4,62.2,55.0,702
0.71,3,5,2,63.4,57.0,2266
0.91,3,7,3,62.8,59.0,4556
1.01,3,4,7,61.8,59.0,8373
1.2,2,6,3,64.0,61.0,7096
1.51,4,4,4,58.1,61.0,11746
1.02,1,3,3,56.9,58.0,4935
1.01,4,2,2,62.9,58.0,3461
1.0,4,6,5,58.7,62.0,7392
0.4,3,6,3,62.8,59.0,707
0.38,5,5,7,60.9,57.0,1160
0.27,5,7,7,61.7,57.0,586
0.62,5,2,2,62.5,55.0,1161
0.43,3,7,2,63.1,59.0,858
1.0,1,4,1,67.3,57.0,1954
0.31,4,6,4,60.6,59.0,680
0.5,4,6,3,62.3,60.0,1155
1.25,5,5,5,62.0,55.0,9586
0.38,5,7,5,62.5,56.0,1067
0.28,2,5,6,61.2,62.0,596
0.7,5,5,3,62.3,56.0,2382
0.38,4,4,5,61.9,56.0,1069
0.96,4,7,2,60.0,61.0,4274
0.23,2,5,5,63.2,58.0,376
0.43,3,3,7,60.2,55.0,1220
1.04,3,2,4,61.9,58.0,4511
0.7,5,4,4,60.8,57.0,2507
1.02,4,3,2,58.3,59.0,3313
1.14,2,6,3,60.9,64.0,5899
0.3,5,6,6,61.4,56.0,949
0.24,3,5,3,61.6,57.0,370
0.26,3,6,6,60.8,61.0,564
0.46,5,3,5,62.3,53.0,983
0.9,3,6,4,63.4,59.0,3894
0.3,3,4,5,62.1,60.0,605
0.38,5,7,7,60.3,56.0,1867
0.32,4,5,7,60.7,58.0,1294
0.71,3,5,5,62.9,55.0,3175
0.32,5,5,8,62.2,55.0,1080
0.76,5,3,3,61.4,55.0,3050
0.33,5,6,4,61.1,56.0,723
0.7,3,2,3,61.4,57.0,2028
0.3,4,7,4,60.6,58.0,710
0.51,5,7,3,61.8,55.0,1687
0.4,4,1,5,59.7,59.0,631
0.31,5,6,5,61.6,57.0,734
0.33,3,7,7,62.1,58.0,920
1.24,4,4,3,58.9,58.0,6145
1.06,5,2,2,61.3,56.0,4092
0.71,5,6,3,61.6,53.0,2258
0.7,3,5,4,60.3,59.0,2400
0.31,5,4,8,61.7,55.0,871
0.33,4,6,6,60.3,58.0,868
1.5,4,4,2,60.7,58.0,8316
1.02,3,5,6,60.9,56.0,9205
0.61,3,2,8,60.2,57.0,2057
1.01,5,3,4,62.3,57.0,4821
1.5,4,1,3,61.2,61.0,7518
1.24,4,4,6,59.9,60.0,10202
1.0,2,5,4,61.1,61.0,6841
0.7,3,7,4,63.0,56.0,2960
1.16,3,3,2,61.8,58.0,4785
0.38,5,3,4,61.9,56.0,680
0.7,1,2,4,64.7,60.0,2117
1.03,3,5,3,60.6,63.0,5241
0.35,5,2,5,60.9,57.0,552
0.31,4,5,7,59.9,59.0,940
0.78,5,4,4,62.2,57.0,3171
0.57,5,7,4,61.7,57.0,1865
2.01,2,2,3,64.1,62.0,13587
0.92,4,2,4,60.9,58.0,3895
1.02,5,3,4,62.3,54.0,4604
1.27,5,1,4,61.8,54.0,5285
1.09,5,6,4,60.7,57.0,9346
0.74,5,5,5,62.3,57.0,3170
1.01,5,7,3,62.2,54.0,6257
0.52,5,7,4,62.7,53.0,1919
2.0,3,1,2,59.8,60.0,11792
0.31,2,5,6,63.6,55.0,846
0.27,5,4,8,61.0,56.0,672
0.25,5,3,5,61.7,57.0,431
0.38,5,5,5,62.4,54.0,933
1.73,4,7,3,60.6,59.0,12770
0.58,5,2,3,61.4,55.0,1193
0.41,5,4,4,62.2,57.0,891
2.32,3,2,3,63.2,59.0,18371
0.41,5,5,7,61.8,57.0,1295
0.32,5,4,5,62.3,54.0,828
0.42,3,5,8,60.0,58.0,1722
0.41,3,6,2,63.2,58.0,818
0.28,3,7,7,60.6,58.0,642
0.23,3,6,6,60.0,56.0,530
1.34,5,1,5,62.0,57.0,6010
0.52,3,4,4,63.2,58.0,1577
0.52,3,6,3,61.0,61.0,1369
0.3,4,7,3,62.4,60.0,709
0.4,5,6,6,62.1,56.0,1238
0.34,5,3,4,61.2,55.0,517
1.5,4,7,3,61.6,59.0,13445
0.53,5,3,3,61.5,54.0,1205
0.36,5,2,4,61.8,55.0,648
0.63,4,6,6,62.1,57.0,2789
0.39,3,5,8,60.8,55.0,1131
0.52,3,5,4,63.9,57.0,1550
0.36,3,3,4,61.0,60.0,568
0.52,5,3,4,62.2,56.4,1391
0.38,5,5,5,62.4,54.0,998
0.31,5,6,5,61.4,56.0,804
0.55,4,5,4,59.7,58.0,1698
1.2,4,3,3,62.4,59.0,5592
2.3,5,2,2,61.8,57.0,16181
0.7,5,3,3,62.6,55.0,2294
0.54,5,7,4,61.2,56.0,1842
1.01,5,4,3,60.8,56.0,5204
0.7,4,5,4,61.7,58.0,2838
0.34,5,7,4,62.4,53.0,805
0.51,3,4,5,63.4,57.0,1709
1.25,5,4,4,61.5,58.0,9282
0.79,3,6,3,63.2,56.0,2794
1.75,4,4,4,61.5,59.0,16783
1.33,2,7,2,59.0,64.0,6152
1.01,2,5,3,63.5,59.0,4899
0.54,4,7,3,62.0,55.0,1786
0.33,5,3,8,62.1,54.0,838
0.59,4,2,3,62.8,59.0,1217
0.28,5,4,7,62.7,55.0,522
0.36,5,6,4,61.9,56.0,789
1.0,2,5,2,63.7,57.0,3977
0.79,1,4,3,65.3,76.0,2362
0.32,5,2,4,62.5,55.0,449
0.53,5,7,4,60.6,57.0,1857
1.01,3,5,5,59.9,59.0,6825
0.56,4,2,7,60.6,59.0,1743
0.5,2,7,4,64.0,56.0,1708
0.8,3,3,5,62.7,56.0,3144
1.16,3,5,4,60.2,63.0,7803
0.43,4,6,6,60.8,57.0,1304
0.32,5,6,4,62.6,53.0,702
0.33,4,6,4,62.0,59.0,723
0.61,3,6,8,61.7,58.0,3337
0.53,3,5,5,60.6,57.0,1607
1.05,5,7,3,62.8,57.0,5914
0.7,1,5,1,65.9,57.0,1158
1.02,5,2,4,62.7,56.0,4281
0.31,3,3,3,62.3,55.0,446
0.33,4,4,6,61.5,62.0,901
0.34,5,4,8,61.9,57.0,1084
0.56,4,6,4,61.8,59.0,1819
1.01,4,5,5,61.7,58.0,7507
0.39,4,6,3,59.1,59.0,860
1.01,4,3,4,62.6,61.0,5050
2.19,5,7,2,61.8,57.0,18693
0.7,4,7,5,61.6,60.0,3229
1.2,3,3,3,63.3,56.0,4637
2.03,4,3,4,62.6,59.0,18139
1.0,4,6,3,60.5,59.0,5299
0.74,4,5,3,60.7,59.0,2415
1.0,4,1,3,62.0,62.0,3276
0.4,3,6,4,62.9,59.0,858
1.52,4,3,3,61.0,58.0,9527
0.26,5,4,3,62.2,54.0,394
0.33,5,6,4,62.4,54.0,682
0.32,3,3,4,62.7,54.0,505
0.51,2,6,4,61.1,65.0,1424
0.45,5,2,5,62.1,55.0,825
0.7,4,5,3,61.0,60.0,2492
0.8,5,3,5,63.1,58.0,3111
0.58,1,4,5,64.7,60.0,1701
0.24,2,5,5,60.2,65.0,383
0.34,5,6,5,62.0,57.0,687
0.25,1,6,5,55.2,64.0,361
0.7,2,6,5,58.7,60.0,3148
0.74,5,5,4,62.1,56.0,3200
0.33,4,7,6,60.4,60.0,1052
0.42,5,7,7,62.8,56.0,1621
0.9,3,7,3,64.2,55.0,4523
0.25,5,6,7,61.2,57.0,576
0.32,5,6,3,61.5,55.0,532
0.56,4,7,3,59.9,60.0,1814
0.31,5,5,4,61.9,57.0,583
0.43,5,4,6,61.9,55.0,1129
1.07,3,4,4,60.5,56.0,6355
1.03,5,5,5,62.3,57.0,8133
0.47,5,6,2,61.5,55.0,931
0.4,3,4,3,63.2,58.0,840
0.91,1,3,3,65.8,58.0,2854
0.3,3,4,4,59.3,59.0,491
0.71,5,5,4,62.8,56.0,2686
1.2,3,3,7,63.3,56.0,6672
0.31,5,7,4,61.6,57.0,942
0.38,4,4,4,60.4,57.0,983
0.53,2,6,3,63.6,56.0,1224
0.7,2,7,6,63.3,54.0,3267
0.58,5,5,5,62.4,57.0,2227
1.12,4,7,2,61.2,59.0,4071
0.37,5,4,8,62.4,56.0,1033
0.23,4,7,6,59.6,61.0,640
0.5,3,6,3,60.7,58.0,1351
0.58,3,6,2,63.5,60.0,1265
1.0,3,2,3,60.4,63.0,4032
0.88,2,2,3,60.2,64.0,2558
2.48,3,5,2,63.4,56.0,18692
0.41,4,5,6,60.1,58.0,1115
0.42,3,7,7,62.8,56.0,1547
0.32,4,7,3,58.9,60.0,756
1.59,5,1,3,61.3,57.0,7943
0.5,3,4,3,62.4,52.0,1153
0.8,3,3,6,62.9,56.0,3036
1.11,3,7,3,61.6,57.0,5915
0.53,4,7,3,60.0,58.0,1753
0.4,5,2,8,62.4,54.0,917
1.0,3,3,4,63.3,53.0,5000
1.01,2,6,3,63.4,59.0,4912
1.0,5,6,4,61.9,56.0,6048
1.53,3,3,3,61.0,61.0,10468
1.2,3,3,1,63.1,60.0,2850
1.02,3,3,5,63.1,57.0,5977
0.5,5,5,5,62.1,55.0,1731
0.41,3,5,6,60.3,58.0,1115
0.7,5,5,2,61.4,55.0,2421
1.18,4,3,3,60.1,60.0,4746
0.31,4,3,6,60.6,60.0,625
0.79,4,3,6,62.6,58.0,2827
0.42,4,3,5,61.2,60.0,847
0.41,5,5,3,62.9,56.0,969
1.1,4,3,5,61.3,58.0,5673
1.21,4,3,4,59.9,59.0,7562
1.2,3,1,2,61.2,58.0,4523
1.03,1,2,2,65.2,56.0,3530
1.5,4,1,4,59.6,60.0,7503
1.5,3,2,3,61.4,62.0,7722
0.32,5,3,2,61.5,56.0,420
1.02,5,4,8,62.5,57.0,8162
