,Title,imdbRating,Plot,Genre,Runtime in minutes,imdbVotes,totalSeasons,Drama,Horror,Action,History,War,Sci-Fi,Family,Biography,Crime,Thriller,Comedy,Fantasy,Mystery,Animation,Sport,Adventure,Documentary,Romance,Western,Day,Time,Network,Episodes,Hours
59,Power,8.2,"James ""Ghost"" St. Patrick, a wealthy New York night club owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin.","Crime, Drama",50,36339,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sunday,20:00,Starz,63,52.5
60,Silicon Valley,8.5,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",Comedy,28,114859,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sunday,22:00,HBO,53,24.73
61,Fargo,8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Crime, Drama, Thriller",53,292957,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Sunday,22:00,FX,30,26.5
62,Ray Donovan,8.3,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.","Crime, Drama",60,73295,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sunday,20:00,Showtime,82,82.0
63,The Blacklist,8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","Crime, Drama, Mystery, Thriller",43,175625,8,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Friday,20:00,NBC,152,108.93
64,House of Cards,8.8,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,Drama,51,446426,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,,Netflix,73,62.05
65,Utopia,8.4,"After a group of people, who meet online, discover a bizarre graphic novel which seems to hold mysterious answers, they find themselves being tracked down by a merciless organization known merely as 'The Network'.","Drama, Mystery, Sci-Fi, Thriller",50,36741,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Wednesday,21:00,ABC,32,26.67
66,Generation War,8.5,Five friends go out to war and promise each other to be back for Christmas.,"Action, Drama, History, War",270,23240,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,20:15,ZDF,3,13.5
67,Suits,8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.","Comedy, Drama",44,341915,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Wednesday,21:00,USA Network,134,98.27
68,The Bridge,7.6,Two detectives work together to take down a serial killer operating on both sides of the Texas-Chihuahua border.,"Crime, Drama, Mystery, Thriller",43,17180,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Wednesday,22:00,FX,26,18.63
69,Black Mirror,8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Drama, Sci-Fi, Thriller",60,381497,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Wednesday,,Netflix,21,21.0
70,Luther,8.5,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,"Crime, Drama, Mystery, Thriller",60,112083,5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,21:00,BBC One,20,20.0
71,The Mentalist,8.1,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter.","Crime, Drama, Mystery, Thriller",43,157189,7,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Sunday,22:00,CBS,151,108.22
72,Generation Kill,8.5,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Drama, War",70,45035,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,7,8.17
73,Planet Earth,9.4,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",Documentary,538,157420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sunday,21:00,BBC One,11,98.63
74,The Lost Room,8.2,"A detective investigates a mysterious motel room, which acts as a portal to an alternate universe.","Action, Fantasy, Mystery, Sci-Fi",270,27732,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Wednesday,21:00,Syfy,3,13.5
75,Doctor Who,8.6,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Adventure, Drama, Family, Mystery, Sci-Fi",45,191327,12,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,Sunday,19:10,BBC One,147,110.25
76,The Office,8.8,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Comedy,22,336875,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Thursday,21:00,NBC,201,73.7
77,Supernatural,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Drama, Fantasy, Horror, Mystery, Thriller",44,368857,15,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Monday,20:00,The CW,327,239.8
78,Deadwood,8.6,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","Crime, Drama, History, Western",55,89353,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,21:00,HBO,36,33.0
79,Amazing Stories,7.4,"Truly amazing, fantastical, funny, and odd, and sometimes scary, sad, and endearing stories are portrayed. Many famous actors, actresses, and directors made guest appearances.","Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",30,4773,2,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,Friday,,Apple TV+,5,2.5
80,Devs,8.1,"A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.","Drama, Mystery, Sci-Fi, Thriller",50,1214,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,,Hulu,8,6.67
81,The New Pope,8.2,Two Popes. Only one Vatican. A holy war to come.,Drama,60,4798,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,22:15,Sky Atlantic,9,9.0
82,The Outsider,8.4,Investigators are confounded over an unspeakable crime that's been committed.,"Crime, Drama, Mystery, Thriller",60,24528,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Sunday,21:00,HBO,10,10.0
83,Prodigal Son,7.6,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.","Crime, Drama, Mystery, Thriller",44,6472,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Monday,21:00,FOX,20,14.67
84,Bard of Blood,7.4,"Political espionage thriller based on ""Bard of Blood,"" by Bilal Siddiqi.","Action, Adventure, Drama, Thriller",45,7531,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Friday,,Netflix,7,5.25
85,Unbelievable,8.5,"Based on the true story of Marie, a teenager who was charged with lying about having been raped, and the two female detectives who followed the path to the truth.","Crime, Drama",385,49860,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Friday,,Netflix,8,51.33
86,Pose,8.6,"Pose is set in the world of 1987 and ""looks at the juxtaposition of several segments of life and society in New York: the rise of the luxury universe, the downtown social and literary scene and the ball culture world.""",Drama,60,13957,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,22:00,FX,18,18.0
87,Killing Eve,8.3,"After a series of events, the lives of a security operative and an assassin become inextricably linked.","Action, Adventure, Drama, Thriller",42,61494,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Sunday,21:00,BBC America,19,13.3
88,Homecoming,7.5,"Heidi works at Homecoming, a facility helping soldiers transition to civilian life. Years later when the Department of Defense questions why she left, Heidi realizes there's a whole other story behind the one she's been telling herself.","Drama, Thriller",30,14934,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,Amazon Prime,11,5.5
